UNIXTime,Data,Time,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet
1475223021,9/29/2016 12:00:00 AM,22:10:21,1.2,50,30.47,97,146.76,5.62,06:13:00,18:13:00
1475222720,9/29/2016 12:00:00 AM,22:05:20,1.21,50,30.47,97,158.35,4.5,06:13:00,18:13:00
1475222426,9/29/2016 12:00:00 AM,22:00:26,1.22,50,30.47,97,166.05,5.62,06:13:00,18:13:00
1475222120,9/29/2016 12:00:00 AM,21:55:20,1.22,50,30.47,96,151.82,5.62,06:13:00,18:13:00
1475221832,9/29/2016 12:00:00 AM,21:50:32,1.22,50,30.47,96,152.52,6.75,06:13:00,18:13:00
1475221528,9/29/2016 12:00:00 AM,21:45:28,1.24,50,30.47,95,127.82,7.87,06:13:00,18:13:00
1475221220,9/29/2016 12:00:00 AM,21:40:20,1.23,50,30.47,95,157.58,6.75,06:13:00,18:13:00
1475220921,9/29/2016 12:00:00 AM,21:35:21,1.23,50,30.47,95,172.96,7.87,06:13:00,18:13:00
1475220621,9/29/2016 12:00:00 AM,21:30:21,1.23,50,30.47,95,143.82,6.75,06:13:00,18:13:00
1475220322,9/29/2016 12:00:00 AM,21:25:22,1.24,50,30.47,94,154.03,5.62,06:13:00,18:13:00
1475220021,9/29/2016 12:00:00 AM,21:20:21,1.2,50,30.47,93,165.93,4.5,06:13:00,18:13:00
1475219723,9/29/2016 12:00:00 AM,21:15:23,1.24,50,30.47,93,139.82,7.87,06:13:00,18:13:00
1475219420,9/29/2016 12:00:00 AM,21:10:20,1.21,49,30.47,93,166.07,9,06:13:00,18:13:00
1475219126,9/29/2016 12:00:00 AM,21:05:26,1.24,50,30.47,93,116.16,5.62,06:13:00,18:13:00
1475218820,9/29/2016 12:00:00 AM,21:00:20,1.2,50,30.47,92,157.48,4.5,06:13:00,18:13:00
1475218518,9/29/2016 12:00:00 AM,20:55:18,1.19,50,30.47,91,112.27,7.87,06:13:00,18:13:00
1475218220,9/29/2016 12:00:00 AM,20:50:20,1.25,50,30.47,90,133.69,6.75,06:13:00,18:13:00
1475217924,9/29/2016 12:00:00 AM,20:45:24,1.25,50,30.47,88,140.64,6.75,06:13:00,18:13:00
1475217619,9/29/2016 12:00:00 AM,20:40:19,1.23,50,30.47,87,52.89,1.12,06:13:00,18:13:00
1475217319,9/29/2016 12:00:00 AM,20:35:19,1.21,50,30.47,86,132.66,4.5,06:13:00,18:13:00
1475217018,9/29/2016 12:00:00 AM,20:30:18,1.25,50,30.46,85,138.35,5.62,06:13:00,18:13:00
1475216720,9/29/2016 12:00:00 AM,20:25:20,1.23,50,30.46,84,109.87,3.37,06:13:00,18:13:00
1475216423,9/29/2016 12:00:00 AM,20:20:23,1.23,50,30.47,81,123.25,3.37,06:13:00,18:13:00
1475216120,9/29/2016 12:00:00 AM,20:15:20,1.26,50,30.46,75,158.64,4.5,06:13:00,18:13:00
1475215822,9/29/2016 12:00:00 AM,20:10:22,1.17,50,30.46,70,165.22,5.62,06:13:00,18:13:00
1475215522,9/29/2016 12:00:00 AM,20:05:22,1.22,50,30.46,63,160.51,3.37,06:13:00,18:13:00
1475215218,9/29/2016 12:00:00 AM,20:00:18,1.22,50,30.46,51,155.36,4.5,06:13:00,18:13:00
1475214923,9/29/2016 12:00:00 AM,19:55:23,1.22,50,30.46,47,157.78,6.75,06:13:00,18:13:00
1475214622,9/29/2016 12:00:00 AM,19:50:22,1.24,50,30.46,46,151.6,3.37,06:13:00,18:13:00
1475214325,9/29/2016 12:00:00 AM,19:45:25,1.25,50,30.46,47,105.78,4.5,06:13:00,18:13:00
1475214022,9/29/2016 12:00:00 AM,19:40:22,1.19,50,30.46,48,135.55,4.5,06:13:00,18:13:00
1475213722,9/29/2016 12:00:00 AM,19:35:22,1.19,50,30.46,56,140.92,4.5,06:13:00,18:13:00
1475213420,9/29/2016 12:00:00 AM,19:30:20,1.23,50,30.46,57,165,4.5,06:13:00,18:13:00
1475213121,9/29/2016 12:00:00 AM,19:25:21,1.19,51,30.46,55,126.63,3.37,06:13:00,18:13:00
1475212820,9/29/2016 12:00:00 AM,19:20:20,1.23,51,30.46,54,119.97,4.5,06:13:00,18:13:00
1475212522,9/29/2016 12:00:00 AM,19:15:22,1.22,51,30.45,53,95.57,2.25,06:13:00,18:13:00
1475212224,9/29/2016 12:00:00 AM,19:10:24,1.24,51,30.45,51,100.02,4.5,06:13:00,18:13:00
1475211920,9/29/2016 12:00:00 AM,19:05:20,1.24,51,30.45,51,111.73,2.25,06:13:00,18:13:00
1475211624,9/29/2016 12:00:00 AM,19:00:24,1.23,51,30.45,52,145.77,5.62,06:13:00,18:13:00
1475211319,9/29/2016 12:00:00 AM,18:55:19,1.23,51,30.45,51,105.89,6.75,06:13:00,18:13:00
1475211024,9/29/2016 12:00:00 AM,18:50:24,1.24,51,30.45,52,120.86,5.62,06:13:00,18:13:00
1475210719,9/29/2016 12:00:00 AM,18:45:19,1.23,51,30.44,55,170.11,5.62,06:13:00,18:13:00
1475210421,9/29/2016 12:00:00 AM,18:40:21,1.21,52,30.44,55,107.15,5.62,06:13:00,18:13:00
1475210121,9/29/2016 12:00:00 AM,18:35:21,1.24,52,30.44,55,129.29,6.75,06:13:00,18:13:00
1475209823,9/29/2016 12:00:00 AM,18:30:23,1.18,52,30.45,59,158.73,3.37,06:13:00,18:13:00
1475209519,9/29/2016 12:00:00 AM,18:25:19,1.52,52,30.44,59,211.38,2.25,06:13:00,18:13:00
1475209223,9/29/2016 12:00:00 AM,18:20:23,5.07,53,30.44,61,174.97,4.5,06:13:00,18:13:00
1475208921,9/29/2016 12:00:00 AM,18:15:21,6.16,53,30.44,62,120.78,7.87,06:13:00,18:13:00
1475208652,9/29/2016 12:00:00 AM,18:10:52,6.63,53,30.44,59,118.82,5.62,06:13:00,18:13:00
1475208322,9/29/2016 12:00:00 AM,18:05:22,10.96,54,30.44,59,154.16,4.5,06:13:00,18:13:00
1475208022,9/29/2016 12:00:00 AM,18:00:22,19.42,55,30.44,57,58.42,6.75,06:13:00,18:13:00
1475207722,9/29/2016 12:00:00 AM,17:55:22,27.14,55,30.44,53,47.86,4.5,06:13:00,18:13:00
1475207419,9/29/2016 12:00:00 AM,17:50:19,33.75,56,30.44,52,74.56,2.25,06:13:00,18:13:00
1475207122,9/29/2016 12:00:00 AM,17:45:22,49.57,56,30.44,49,25.72,6.75,06:13:00,18:13:00
1475206822,9/29/2016 12:00:00 AM,17:40:22,59.62,56,30.44,50,102.11,2.25,06:13:00,18:13:00
1475206538,9/29/2016 12:00:00 AM,17:35:38,87.23,56,30.44,48,67.49,3.37,06:13:00,18:13:00
1475206225,9/29/2016 12:00:00 AM,17:30:25,109.93,56,30.43,49,180.29,2.25,06:13:00,18:13:00
1475205925,9/29/2016 12:00:00 AM,17:25:25,130.82,57,30.43,57,150.2,2.25,06:13:00,18:13:00
1475205625,9/29/2016 12:00:00 AM,17:20:25,160.52,57,30.43,55,47.3,5.62,06:13:00,18:13:00
1475205320,9/29/2016 12:00:00 AM,17:15:20,191.37,58,30.43,52,333.81,1.12,06:13:00,18:13:00
1475205020,9/29/2016 12:00:00 AM,17:10:20,207.05,58,30.43,49,41.62,4.5,06:13:00,18:13:00
1475204722,9/29/2016 12:00:00 AM,17:05:22,240.99,58,30.43,45,132.36,5.62,06:13:00,18:13:00
1475204424,9/29/2016 12:00:00 AM,17:00:24,274.83,58,30.43,41,332.09,4.5,06:13:00,18:13:00
1475204125,9/29/2016 12:00:00 AM,16:55:25,300.94,58,30.43,55,45.88,3.37,06:13:00,18:13:00
1475203822,9/29/2016 12:00:00 AM,16:50:22,322.71,58,30.43,56,94.24,7.87,06:13:00,18:13:00
1475203538,9/29/2016 12:00:00 AM,16:45:38,346.59,58,30.43,50,81.57,6.75,06:13:00,18:13:00
1475203220,9/29/2016 12:00:00 AM,16:40:20,364.18,58,30.43,49,351.03,7.87,06:13:00,18:13:00
1475202941,9/29/2016 12:00:00 AM,16:35:41,368.35,58,30.43,51,78.81,5.62,06:13:00,18:13:00
1475202622,9/29/2016 12:00:00 AM,16:30:22,362.84,58,30.43,46,85.96,5.62,06:13:00,18:13:00
1475202321,9/29/2016 12:00:00 AM,16:25:21,423.9,59,30.43,48,19.78,4.5,06:13:00,18:13:00
1475202025,9/29/2016 12:00:00 AM,16:20:25,457.69,58,30.43,59,18.26,4.5,06:13:00,18:13:00
1475201723,9/29/2016 12:00:00 AM,16:15:23,511.38,58,30.43,52,69.08,3.37,06:13:00,18:13:00
1475201422,9/29/2016 12:00:00 AM,16:10:22,566.83,58,30.43,52,40.87,4.5,06:13:00,18:13:00
1475201120,9/29/2016 12:00:00 AM,16:05:20,187.96,58,30.43,49,0.13,4.5,06:13:00,18:13:00
1475200820,9/29/2016 12:00:00 AM,16:00:20,310.59,59,30.43,58,27.34,9,06:13:00,18:13:00
1475200522,9/29/2016 12:00:00 AM,15:55:22,230.26,59,30.43,46,359.93,3.37,06:13:00,18:13:00
1475200221,9/29/2016 12:00:00 AM,15:50:21,623.31,60,30.43,46,22.18,7.87,06:13:00,18:13:00
